id,title,description,availability,condition,price,link,image_link,additional_image_link,brand
TRV-D2DAA6AE,Aplicación con licencia oficial y 1080P nativo: el mini proyector inte,"Importado de USA. Precio final en guaraníes, todo incluido. Te lo traemos del exterior: llega en 2 a 3 semanas. Compra gestionada por Tarvo — pedinos por WhatsApp.",in stock,new,1140000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Aplicaci%C3%B3n%20con%20licencia%20oficial%20y%201080P%20%28Gs%201.140.000%29,https://m.media-amazon.com/images/I/71m01uOu37L._AC_SL1000_.jpg,"https://m.media-amazon.com/images/I/41SYM7woDiL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/51Amivav8GL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/51grgLDEXUL._AC_SL1000_.jpg",Tarvo
TRV-16953E28,Calvin Klein Millie - Mini bolso cruzado 2 en 1 con compartimento trip,"Importado de USA. Precio final en guaraníes, todo incluido. Te lo traemos del exterior: llega en 2 a 3 semanas. Compra gestionada por Tarvo — pedinos por WhatsApp.",in stock,new,670000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Calvin%20Klein%20Millie%20-%20Mini%20bolso%20cruzado%20%28Gs%20670.000%29,https://m.media-amazon.com/images/I/71wTPqXMMyL._AC_SL1000_.jpg,"https://m.media-amazon.com/images/I/31KfEzJFDuL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/31MnV7-JKbL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/21fecenmpTL._AC_SL1000_.jpg",Tarvo
TRV-C0E2EA32,Michael Kors Women's Jet Set Large Crossbody Bag,"Importado de USA. Precio final en guaraníes, todo incluido. Te lo traemos del exterior: llega en 2 a 3 semanas. Compra gestionada por Tarvo — pedinos por WhatsApp.",in stock,new,715000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Michael%20Kors%20Women%27s%20Jet%20Set%20Large%20Cross%20%28Gs%20715.000%29,https://m.media-amazon.com/images/I/71G65R-XC2L._AC_SL1000_.jpg,"https://m.media-amazon.com/images/I/417llnT8ZnL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/415-y8Z65gL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/31qNlwO3+JL._AC_SL1000_.jpg",Tarvo
TRV-C8F67FDA,Portapirex Red. Folio 2.5 Ltrs C/Tapa,Precio con delivery incluido (zona de cobertura y recargo a coordinar). Entrega rápida en Paraguay. Compra gestionada por Tarvo — pedinos por WhatsApp.,in stock,new,320000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Portapirex%20Red.%20Folio%202.5%20Ltrs%20C/Tapa%20%28Gs%20320.000%29,https://www.kube.com.py/wp-content/uploads/2021/06/956-350-1.jpg,,Tarvo
TRV-180E2C4E,Champion Deportivo Vl Court 3.0 Negro Mujer Adidas,Precio con delivery incluido (zona de cobertura y recargo a coordinar). Entrega rápida en Paraguay. Compra gestionada por Tarvo — pedinos por WhatsApp.,in stock,new,595000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Champion%20Deportivo%20Vl%20Court%203.0%20Negro%20Mu%20%28Gs%20595.000%29,https://pyunicentroprod.vteximg.com.br/arquivos/ids/2912379/IMG-EC066835-2310306-01.jpg?v=639204636488130000,"https://pyunicentroprod.vteximg.com.br/arquivos/ids/2912380/IMG-EC066835-2310306-02.jpg?v=639204636506600000,https://pyunicentroprod.vteximg.com.br/arquivos/ids/2912381/IMG-EC066835-2310306-03.jpg?v=639204636518100000",Tarvo
TRV-F0EABF62,Aspirador de Hojas Trapp SF-3000,Precio con delivery incluido (zona de cobertura y recargo a coordinar). Entrega rápida en Paraguay. Compra gestionada por Tarvo — pedinos por WhatsApp.,in stock,new,1030000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Aspirador%20de%20Hojas%20Trapp%20SF-3000%20%28Gs%201.030.000%29,https://www.gonzalezgimenez.com.py/storage/sku/trapp-equipos-aspirador-de-hojas-trapp-sf-3000-2-1-1709213122.png?v=1709213123,,Tarvo
TRV-801AED7D,Calvin Klein para mujer Calvin Klein Zoe Bolso Tote de Cadena,"Importado de USA. Precio final en guaraníes, todo incluido. Te lo traemos del exterior: llega en 2 a 3 semanas. Compra gestionada por Tarvo — pedinos por WhatsApp.",in stock,new,685000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Calvin%20Klein%20para%20mujer%20Calvin%20Klein%20Zoe%20%28Gs%20685.000%29,https://m.media-amazon.com/images/I/61COFGC01OL._AC_SL1000_.jpg,"https://m.media-amazon.com/images/I/31gMwlhTSXL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/315ueY3MnJL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/41IlT0OS9ZL._AC_SL1000_.jpg",Tarvo
TRV-B86EC1E6,Juego de 6 vasos Tattoo,Precio con delivery incluido (zona de cobertura y recargo a coordinar). Entrega rápida en Paraguay. Compra gestionada por Tarvo — pedinos por WhatsApp.,in stock,new,340000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Juego%20de%206%20vasos%20Tattoo%20%28Gs%20340.000%29,https://www.kube.com.py/wp-content/uploads/2021/06/9201-542-1.jpg,,Tarvo
TRV-7C986661,Champion Negro Caño Alto,Precio con delivery incluido (zona de cobertura y recargo a coordinar). Entrega rápida en Paraguay. Compra gestionada por Tarvo — pedinos por WhatsApp.,in stock,new,525000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Champion%20Negro%20Ca%C3%B1o%20Alto%20%28Gs%20525.000%29,https://pyunicentroprod.vteximg.com.br/arquivos/ids/645061/IMG-EC022686-8006669-01.jpg?v=638344377326300000,https://pyunicentroprod.vteximg.com.br/arquivos/ids/645062/IMG-EC022686-8006669-02.jpg?v=638763423882630000,Tarvo
TRV-44EE55E0,Kit De Perfume Nina Ricci Nina Mujer 80 Ml + Body Lotion 75 Ml Edt 313,Precio con delivery incluido (zona de cobertura y recargo a coordinar). Entrega rápida en Paraguay. Compra gestionada por Tarvo — pedinos por WhatsApp.,in stock,new,1155000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Kit%20De%20Perfume%20Nina%20Ricci%20Nina%20Mujer%2080%20%28Gs%201.155.000%29,https://miltonroa.github.io/mundo-ofertas/catalog/img/tupi-112321.jpg,,Tarvo
TRV-1C41C6BD,Anafe Tokyo TOKANKA6400 4H Gas Encendido Eléctrico,Precio con delivery incluido (zona de cobertura y recargo a coordinar). Entrega rápida en Paraguay. Compra gestionada por Tarvo — pedinos por WhatsApp.,in stock,new,985000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Anafe%20Tokyo%20TOKANKA6400%204H%20Gas%20Encendido%20%28Gs%20985.000%29,https://www.gonzalezgimenez.com.py/storage/sku/tokyo-anafes-y-placas-anafe-tokyo-tokanka6400-4h-gas-encendido-electrico-1-1-1655838582.png?v=1655838582,https://www.gonzalezgimenez.com.py/storage/sku/tokyo-anafes-y-placas-anafe-tokyo-tokanka6400-4h-gas-encendido-electrico-2-1-1721248426.jpg,Tarvo
TRV-2B73C2E7,Calvin Klein Reyna Novelty Bolso de hombro con tres compartimentos | V,"Importado de USA. Precio final en guaraníes, todo incluido. Te lo traemos del exterior: llega en 2 a 3 semanas. Compra gestionada por Tarvo — pedinos por WhatsApp.",in stock,new,630000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Calvin%20Klein%20Reyna%20Novelty%20Bolso%20de%20homb%20%28Gs%20630.000%29,https://m.media-amazon.com/images/I/71m6WiVBuiL._AC_SL1000_.jpg,"https://m.media-amazon.com/images/I/41kJ4vp3tBL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/41ZUmYF6biL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/41XUxrs8iEL._AC_SL1000_.jpg",Tarvo
TRV-E0F32FBE,Copa De Agua Tattoo (6 Unidades),Precio con delivery incluido (zona de cobertura y recargo a coordinar). Entrega rápida en Paraguay. Compra gestionada por Tarvo — pedinos por WhatsApp.,in stock,new,405000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Copa%20De%20Agua%20Tattoo%20%286%20Unidades%29%20%28Gs%20405.000%29,https://www.kube.com.py/wp-content/uploads/2021/06/9201-544-1-scaled-1.jpg,,Tarvo
TRV-4537E8D1,Salida De Baño Adulto 100% Algodón Judo Divina Home,Precio con delivery incluido (zona de cobertura y recargo a coordinar). Entrega rápida en Paraguay. Compra gestionada por Tarvo — pedinos por WhatsApp.,in stock,new,215000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Salida%20De%20Ba%C3%B1o%20Adulto%20100%25%20Algod%C3%B3n%20Judo%20%28Gs%20215.000%29,https://pyunicentroprod.vteximg.com.br/arquivos/ids/2915829/IMG-EC067343-2805985-01.jpg?v=639212371218270000,,Tarvo
TRV-637EE6EA,Reloj Smartwatch Argomtech S40 Black Slate Blue Green Rtc80610,Precio con delivery incluido (zona de cobertura y recargo a coordinar). Entrega rápida en Paraguay. Compra gestionada por Tarvo — pedinos por WhatsApp.,in stock,new,465000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Reloj%20Smartwatch%20Argomtech%20S40%20Black%20Sla%20%28Gs%20465.000%29,https://miltonroa.github.io/mundo-ofertas/catalog/img/tupi-146187.jpg,,Tarvo
TRV-D8DCA17A,Anafe Tokyo a Gas/Eléctrico TOKANKA31,Precio con delivery incluido (zona de cobertura y recargo a coordinar). Entrega rápida en Paraguay. Compra gestionada por Tarvo — pedinos por WhatsApp.,in stock,new,1075000 PYG,https://wa.me/595992805800?text=Hola%21%20Quiero%20pedir%3A%20Anafe%20Tokyo%20a%20Gas/El%C3%A9ctrico%20TOKANKA31%20%28Gs%201.075.000%29,https://www.gonzalezgimenez.com.py/storage/sku/600-600-8e634d-44372.jpg?v=1611169366,"https://www.gonzalezgimenez.com.py/storage/sku/tokyo-anafes-y-placas-anafe-tokyo-a-gaselectrico-tokanka31-2-1-1720623113.jpg,https://www.gonzalezgimenez.com.py/storage/sku/tokyo-anafes-y-placas-anafe-tokyo-a-gaselectrico-tokanka31-3-1-1720623113.jpg",Tarvo
